frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
296,11315,326000000,2.201925,6.114580,2.851354,1.165752,-2.875389,2.309524
297,11315,427000000,2.098196,6.131880,2.856647,1.122358,-2.811527,2.251073
298,11315,526000000,2.001992,6.159331,2.882638,1.064616,-2.734142,2.191632
299,11315,627000000,1.893986,6.180138,3.034176,1.005580,-2.643439,2.147095
300,11315,727000000,1.808023,6.188594,3.082364,0.953310,-2.557207,2.116040
301,11315,827000000,1.707756,6.192070,3.082147,0.902973,-2.471121,2.099186
302,11315,926000000,1.607613,6.196284,3.081647,0.853835,-2.381814,2.071712
303,11316,27000000,1.521986,6.201284,3.078496,0.807438,-2.290965,2.046136
304,11316,126000000,1.422013,6.206672,3.078686,0.763142,-2.199164,2.016322
305,11316,226000000,1.322088,6.212311,3.078738,0.718739,-2.111739,2.004595
306,11316,326000000,1.231610,6.219751,3.078136,0.678102,-2.018649,1.979536
307,11316,427000000,1.131747,6.225751,3.078322,0.640088,-1.924677,1.956947
308,11316,526000000,1.031902,6.231838,3.078372,0.604138,-1.830117,1.931010
309,11316,626000000,0.932069,6.237981,3.078479,0.591707,-1.723201,1.887826
310,11316,726000000,0.834682,6.229787,3.087643,0.562744,-1.626619,1.870315
311,11316,827000000,0.734812,6.235090,3.087757,0.534396,-1.530030,1.866101
312,11316,926000000,0.623151,6.222409,3.098124,0.523236,-1.431553,1.854049
313,11317,27000000,0.523238,6.226702,3.098293,0.496114,-1.334897,1.842889
314,11317,126000000,0.423326,6.230994,3.098402,0.470193,-1.238014,1.838844
315,11317,227000000,0.326608,6.232358,3.101512,0.454217,-1.138647,1.837967
316,11317,326000000,0.226685,6.236340,3.101651,0.428223,-1.041938,1.827795
317,11317,427000000,0.126763,6.240315,3.101758,0.403850,-0.944857,1.815859
318,11317,526000000,0.031154,6.232953,3.105827,0.395848,-0.830364,1.787815
319,11317,627000000,-0.068783,6.236512,3.105972,0.375976,-0.732322,1.770912
320,11317,727000000,-0.168720,6.240059,3.106081,0.357466,-0.634034,1.753302
321,11317,827000000,-0.277545,6.237518,3.105072,0.363601,-0.522794,1.735086
322,11317,926000000,-0.377479,6.241154,3.105204,0.348060,-0.424028,1.736132
323,11318,27000000,-0.477413,6.244789,3.105086,0.332170,-0.325333,1.727444
324,11318,127000000,-0.577540,6.265192,3.095686,0.313544,-0.226653,1.720067
325,11318,227000000,-0.677435,6.269770,3.095813,0.300202,-0.127591,1.688099
326,11318,327000000,-0.777331,6.274337,3.095927,0.291652,-0.027976,1.643950
327,11318,427000000,-0.880122,6.277691,3.097877,0.295653,0.073993,1.582010
328,11318,526000000,-0.980027,6.282050,3.098019,0.299987,0.147944,1.514611
329,11318,626000000,-1.079932,6.286397,3.098134,0.309456,0.217232,1.452475
330,11318,726000000,-1.189829,6.291167,3.098217,0.345278,0.321287,1.359099
331,11318,827000000,-1.293309,6.302819,3.091799,0.367437,0.388167,1.264093
332,11318,927000000,-1.393185,6.307786,3.091919,0.394371,0.451071,1.204740
